,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
199,안드로이드 개발자,누아,,상시 채용,정규직,,"서울 종로구 청계천로 85, (관철동) 10층",,,https://programmers.co.kr/job_positions/15931
200,웹(Web) 프론트엔드 개발자,누아,,상시 채용,정규직,,"서울 종로구 청계천로 85, (관철동) 10층",,,https://programmers.co.kr/job_positions/15932
201,백엔드 개발,아이비베리,"서버/백엔드, 웹 풀스택",상시 채용,정규직,3600 ~ 9200 만원,서울 구로구 디지털로27길 36(구로디지털단지),,"['Python', 'Amazon Web Services(AWS)', 'Git']",https://programmers.co.kr/job_positions/4549
202,안드로이드 임베디드 단말기 소프트웨어 개발자,코콤,"안드로이드, iOS",상시 채용,정규직,,서울시 강서구 마곡중앙8로5길 16,,,https://programmers.co.kr/job_positions/15805
203,SAP PP 모듈 운영,아주큐엠에스,ERP,상시 채용,정규직,,"서울 서초구 강남대로 351, (서초동)  청남빌딩 8층 ",,,https://programmers.co.kr/job_positions/15597
204,비전시스템 S/W개발자,코비스테크놀로지,시스템 소프트웨어,상시 채용,정규직,3200 ~ 6000 만원,"경기 안양시 동안구 엘에스로91번길 16-39, (호계동) 902호",,"['C#', 'C', 'C++']",https://programmers.co.kr/job_positions/15576
205,계측기기 F/W 개발자,네오시스코리아,임베디드 소프트웨어,상시 채용,정규직,3000 ~ 4000 만원,"대전 유성구 엑스포로339번길 10-11, (문지동) ",,['C'],https://programmers.co.kr/job_positions/15523
206,(Back-End) 소프트웨어 개발자 ,프래프,"프론트엔드, 웹 풀스택, 안드로이드",상시 채용,정규직,3500 ~ 6000 만원,"서울 강남구 테헤란로 425, (삼성동) 11층",,"['React Native', 'ReactJS', 'JavaScript']",https://programmers.co.kr/job_positions/8702
207,(Front-End) 소프트웨어 개발자 ,프래프,"프론트엔드, 웹 풀스택, 안드로이드",상시 채용,정규직,3000 ~ 6000 만원,"서울 강남구 테헤란로 425, (삼성동) 11층",,"['JavaScript', 'ReactJS', 'React Native']",https://programmers.co.kr/job_positions/8701
208,"수옵틱스(광학기기제조기업)_전자 H/W, F/W설계 연구원(서울근무)",수옵틱스,"임베디드 소프트웨어, 개발PM",상시 채용,정규직,,"서울 구로구 디지털로 242, (구로동) ",,,https://programmers.co.kr/job_positions/15478
